Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Ante Rebic,ac-florenz,eintracht-frankfurt,IT1,L1,4500000.0
18/19,Lucas Torró,real-madrid,eintracht-frankfurt,ES1,L1,3500000.0
18/19,Gonçalo Paciência,fc-porto,eintracht-frankfurt,PO1,L1,3000000.0
18/19,Frederik Rönnow,brondby-if,eintracht-frankfurt,DKMR,L1,2800000.0
18/19,Tuta,fc-sao-paulo-u20,eintracht-frankfurt,,L1,1800000.0
18/19,Almamy Touré,as-monaco,eintracht-frankfurt,FR1,L1,750000.0
18/19,Marius Wolf,hannover-96,eintracht-frankfurt,L1,L1,500000.0
18/19,Carlos Salcedo,eintracht-frankfurt,tigres-uanl,L1,,8800000.0
18/19,Marius Wolf,eintracht-frankfurt,borussia-dortmund,L1,L1,5000000.0
18/19,Omar Mascarell,eintracht-frankfurt,real-madrid,L1,ES1,4000000.0
18/19,Alassane Plea,ogc-nizza,borussia-monchengladbach,FR1,L1,23000000.0
18/19,Andreas Poulsen,fc-midtjylland,borussia-monchengladbach,DKMR,L1,4500000.0
18/19,Michael Lang,fc-basel-1893,borussia-monchengladbach,C1,L1,2800000.0
18/19,Keanan Bennetts,tottenham-hotspur-u23,borussia-monchengladbach,,L1,2250000.0
18/19,Jannik Vestergaard,borussia-monchengladbach,fc-southampton,L1,GB1,25000000.0
18/19,Vincenzo Grifo,borussia-monchengladbach,tsg-1899-hoffenheim,L1,L1,5500000.0
18/19,Raúl Bobadilla,borussia-monchengladbach,argentinos-juniors,L1,AR1N,1800000.0
18/19,Tsiy Ndenge,borussia-monchengladbach,fc-luzern,L1,C1,650000.0
18/19,Valentino Lazaro,red-bull-salzburg,hertha-bsc,A1,L1,10500000.0
18/19,Lukas Klünter,1-fc-koln,hertha-bsc,L2,L1,2000000.0
18/19,Pascal Köpke,fc-erzgebirge-aue,hertha-bsc,L2,L1,2000000.0
18/19,Mitchell Weiser,hertha-bsc,bayer-04-leverkusen,L1,L1,12000000.0
18/19,Genki Haraguchi,hertha-bsc,hannover-96,L1,L1,4500000.0
18/19,Davy Klaassen,fc-everton,sv-werder-bremen,GB1,L1,13500000.0
18/19,Yuya Osako,1-fc-koln,sv-werder-bremen,L2,L1,4500000.0
18/19,Felix Beijmo,djurgardens-if,sv-werder-bremen,SE1,L1,3000000.0
18/19,Martin Harnik,hannover-96,sv-werder-bremen,L1,L1,2250000.0
18/19,Romano Schmid,red-bull-salzburg,sv-werder-bremen,A1,L1,1000000.0
18/19,Nuri Şahin,borussia-dortmund,sv-werder-bremen,L1,L1,1000000.0
18/19,Stefanos Kapino,nottingham-forest,sv-werder-bremen,GB2,L1,300000.0
18/19,Jan-Niklas Beste,borussia-dortmund-u19,sv-werder-bremen,AJ2,L1,250000.0
18/19,Thomas Delaney,sv-werder-bremen,borussia-dortmund,L1,L1,20000000.0
