Season,Player,From_Club,To_Club,From_League,To_League,Fee
20/21,Enes Ünal,fc-villarreal,fc-getafe,ES1,ES1,9000000.0
20/21,Álvaro González,fc-villarreal,olympique-marseille,ES1,FR1,4000000.0
20/21,Akram Afif,fc-villarreal,al-sadd-sc,ES1,QSL,1000000.0
20/21,Andrés Fernández,fc-villarreal,sd-huesca,ES1,ES1,500000.0
20/21,José Carlos Lazo,fc-getafe,ud-almeria,ES1,ES2,4000000.0
20/21,Enric Gallego,fc-getafe,ca-osasuna,ES1,ES1,3000000.0
20/21,Iván Alejo,fc-getafe,fc-cadiz,ES1,ES1,2000000.0
20/21,Merveil Ndockyt,fc-getafe,nk-osijek,ES1,KR1,550000.0
20/21,Raúl Carnero,fc-getafe,real-valladolid,ES1,ES1,200000.0
20/21,Raúl Navas,real-sociedad-san-sebastian,ca-osasuna,ES1,ES1,250000.0
20/21,Álex Berenguer,fc-turin,athletic-bilbao,IT1,ES1,12000000.0
20/21,Luis Suárez,fc-watford,fc-granada,GB2,ES1,7000000.0
20/21,Luis Milla,cd-teneriffa,fc-granada,ES2,ES1,5000000.0
20/21,Maxime Gonalons,as-rom,fc-granada,IT1,ES1,4000000.0
20/21,Dimitri Foulquier,fc-watford,fc-granada,GB2,ES1,2000000.0
20/21,Juan Cruz,fc-elche,ca-osasuna,ES1,ES1,3000000.0
20/21,Lucas Torró,eintracht-frankfurt,ca-osasuna,L1,ES1,2000000.0
20/21,Luis Perea,ca-osasuna,cd-leganes,ES1,ES2,3000000.0
20/21,Juan Villar,ca-osasuna,ud-almeria,ES1,ES2,450000.0
20/21,Moses Simon,ud-levante,fc-nantes,ES1,FR1,5000000.0
20/21,Antonio Sanabria,real-betis-sevilla,fc-turin,ES1,IT1,6500000.0
20/21,Zouhair Feddal,real-betis-sevilla,sporting-lissabon,ES1,PO1,4200000.0
20/21,Ismael Gutiérrez,real-betis-sevilla,atletico-madrid-b,ES1,,1000000.0
20/21,Shon Weissman,wolfsberger-ac,real-valladolid,A1,ES1,4000000.0
20/21,Saidy Janko,fc-porto,real-valladolid,PO1,ES1,1900000.0
20/21,Jawad El Yamiq,genua-cfc,real-valladolid,IT1,ES1,250000.0
20/21,Álvaro Giménez,birmingham-city,fc-cadiz,GB2,ES1,2700000.0
20/21,Choco Lozano,fc-girona,fc-cadiz,ES2,ES1,2500000.0
20/21,Jorge Pombo,real-saragossa,fc-cadiz,ES2,ES1,1200000.0
20/21,Filip Malbasic,cd-teneriffa,fc-cadiz,ES2,ES1,1000000.0
20/21,Damian Kadzior,gnk-dinamo-zagreb,sd-eibar,KR1,ES1,2000000.0
20/21,Ermedin Demirovic,deportivo-alaves,sc-freiburg,ES1,L1,3700000.0
20/21,Patrick Twumasi,deportivo-alaves,hannover-96,ES1,L2,700000.0
20/21,Jeando Fuchs,deportivo-alaves,dundee-united-fc,ES1,SC1,480000.0
20/21,Borja García,fc-girona,sd-huesca,ES2,ES1,1500000.0
20/21,Dimitrios Siovas,cd-leganes,sd-huesca,ES2,ES1,1000000.0
20/21,Pablo Insua,fc-schalke-04,sd-huesca,L1,ES1,1000000.0
20/21,Miguel Baeza,real-madrid-b-castilla-,celta-vigo,,ES1,2500000.0
20/21,Augusto Solari,racing-club,celta-vigo,AR1N,ES1,500000.0
20/21,Pione Sisto,celta-vigo,fc-midtjylland,ES1,DKMR,2500000.0
20/21,Raúl Guti,real-saragossa,fc-elche,ES2,ES1,5000000.0
