Season,League,club_code,club_name,Expenditure,Income
22/23,ES1,fc-elche,Elche CF,13160000.0,9400000.0
22/23,ES1,celta-vigo,Celta de Vigo,22350000.0,17200000.0
22/23,ES1,espanyol-barcelona,RCD Espanyol Barcelona,20600000.0,17800000.0
22/23,ES1,rayo-vallecano,Rayo Vallecano,14300000.0,200000000.0
22/23,ES1,fc-getafe,Getafe CF,15750000.0,20500000.0
22/23,ES1,rcd-mallorca,RCD Mallorca,13420000.0,5300000.0
22/23,ES1,fc-cadiz,Cádiz CF,11500000.0,1000000.0
22/23,ES1,ud-almeria,UD Almería,37080000.0,22200000.0
22/23,ES1,real-valladolid,Real Valladolid CF,12300000.0,1300000.0
22/23,ES1,fc-girona,Girona FC,15000000.0,750000000.0
18/19,L1,fc-bayern-munchen,Bayern Munich,14000000.0,84000000.0
18/19,L1,fc-schalke-04,FC Schalke 04,62200000.0,46150000.0
18/19,L1,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,32000000.0,6120000.0
18/19,L1,borussia-dortmund,Borussia Dortmund,90500000.0,114200000.0
18/19,L1,bayer-04-leverkusen,Bayer 04 Leverkusen,31500000.0,45000000.0
18/19,L1,rasenballsport-leipzig,RB Leipzig,65629999.99999999,72750000.0
18/19,L1,vfb-stuttgart,VfB Stuttgart,45760000.0,13250000.0
18/19,L1,eintracht-frankfurt,Eintracht Frankfurt,28950000.0,18900000.0
18/19,L1,borussia-monchengladbach,Borussia Mönchengladbach,32550000.0,32950000.000000004
18/19,L1,hertha-bsc,Hertha BSC,16000000.0,16900000.0
18/19,L1,sv-werder-bremen,SV Werder Bremen,25800000.0,26850000.0
18/19,L1,fc-augsburg,FC Augsburg,6650000.0,2850000.0
18/19,L1,hannover-96,Hannover 96,18520000.0,13540000.0
18/19,L1,1-fsv-mainz-05,1.FSV Mainz 05,30000000.0,56100000.0
18/19,L1,sc-freiburg,SC Freiburg,18400000.0,22680000.0
18/19,L1,vfl-wolfsburg,VfL Wolfsburg,36000000.0,800000000.0
18/19,L1,fortuna-dusseldorf,Fortuna Düsseldorf,7500000.0,600000000.0
18/19,L1,1-fc-nurnberg,1.FC Nuremberg,4850000.0,0.0
19/20,L1,fc-bayern-munchen,Bayern Munich,139500000.0,54000000.0
19/20,L1,borussia-dortmund,Borussia Dortmund,148500000.0,132250000.0
19/20,L1,rasenballsport-leipzig,RB Leipzig,93000000.0,45250000.0
19/20,L1,bayer-04-leverkusen,Bayer 04 Leverkusen,99700000.0,33500000.0
19/20,L1,borussia-monchengladbach,Borussia Mönchengladbach,40500000.0,34100000.0
19/20,L1,vfl-wolfsburg,VfL Wolfsburg,34800000.0,14300000.0
19/20,L1,eintracht-frankfurt,Eintracht Frankfurt,82640000.0,114800000.0
19/20,L1,sv-werder-bremen,SV Werder Bremen,13950000.0,0.0
19/20,L1,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,54850000.0,122400000.0
19/20,L1,fortuna-dusseldorf,Fortuna Düsseldorf,11150000.0,11600000.0
19/20,L1,hertha-bsc,Hertha BSC,110700000.0,23450000.0
19/20,L1,1-fsv-mainz-05,1.FSV Mainz 05,30700000.0,27000000.0
19/20,L1,sc-freiburg,SC Freiburg,17500000.0,8100000.0
19/20,L1,fc-schalke-04,FC Schalke 04,29500000.0,19450000.0
19/20,L1,fc-augsburg,FC Augsburg,33000000.0,20000000.0
19/20,L1,1-fc-koln,1.FC Köln,20250000.0,6850000.0
19/20,L1,sc-paderborn-07,SC Paderborn 07,750000000.0,5800000.0
19/20,L1,1-fc-union-berlin,1.FC Union Berlin,10050000.0,1250000.0
20/21,L1,fc-bayern-munchen,Bayern Munich,66000000.0,22250000.0
20/21,L1,borussia-dortmund,Borussia Dortmund,55150000.0,5500000.0
20/21,L1,rasenballsport-leipzig,RB Leipzig,72000000.0,77500000.0
20/21,L1,borussia-monchengladbach,Borussia Mönchengladbach,13500000.0,0.0
20/21,L1,bayer-04-leverkusen,Bayer 04 Leverkusen,46200000.0,91000000.0
20/21,L1,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,4000000.0,17750000.0
20/21,L1,vfl-wolfsburg,VfL Wolfsburg,22000000.0,11100000.0
20/21,L1,sc-freiburg,SC Freiburg,14350000.0,37950000.0
20/21,L1,eintracht-frankfurt,Eintracht Frankfurt,10750000.0,17700000.0
20/21,L1,hertha-bsc,Hertha BSC,31250000.0,10450000.0
20/21,L1,1-fc-union-berlin,1.FC Union Berlin,1700000.0,6920000.0
20/21,L1,fc-schalke-04,FC Schalke 04,2000000.0,8000000.0
20/21,L1,1-fsv-mainz-05,1.FSV Mainz 05,2000000.0,13700000.0
20/21,L1,1-fc-koln,1.FC Köln,18500000.0,15000000.0
20/21,L1,fc-augsburg,FC Augsburg,10300000.0,10700000.0
20/21,L1,sv-werder-bremen,SV Werder Bremen,11000000.0,11700000.0
20/21,L1,arminia-bielefeld,Arminia Bielefeld,500000000.0,100000000.0
20/21,L1,vfb-stuttgart,VfB Stuttgart,14950000.0,7500000.0
21/22,L1,fc-bayern-munchen,Bayern Munich,57500000.0,2300000.0
21/22,L1,rasenballsport-leipzig,RB Leipzig,125620000.0,113500000.0
21/22,L1,borussia-dortmund,Borussia Dortmund,45000000.0,109500000.0
21/22,L1,vfl-wolfsburg,VfL Wolfsburg,81180000.0,22700000.0
21/22,L1,eintracht-frankfurt,Eintracht Frankfurt,13450000.0,28400000.0
21/22,L1,bayer-04-leverkusen,Bayer 04 Leverkusen,55350000.0,43340000.0
21/22,L1,1-fc-union-berlin,1.FC Union Berlin,20100000.0,19550000.0
21/22,L1,borussia-monchengladbach,Borussia Mönchengladbach,17000000.0,11450000.0
21/22,L1,vfb-stuttgart,VfB Stuttgart,17450000.0,40920000.0
21/22,L1,sc-freiburg,SC Freiburg,9500000.0,14550000.0
21/22,L1,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,0.0,850000000.0
21/22,L1,1-fsv-mainz-05,1.FSV Mainz 05,7900000.0,18050000.0
21/22,L1,fc-augsburg,FC Augsburg,24060000.0,12800000.0
21/22,L1,hertha-bsc,Hertha BSC,27400000.0,57500000.0
21/22,L1,arminia-bielefeld,Arminia Bielefeld,9430000.0,500000000.0
21/22,L1,1-fc-koln,1.FC Köln,550000000.0,23450000.0
21/22,L1,vfl-bochum,VfL Bochum,0.0,350000000.0
21/22,L1,spvgg-greuther-furth,SpVgg Greuther Fürth,1400000.0,4550000.0
22/23,L1,fc-bayern-munchen,Bayern Munich,146500000.0,102900000.0
22/23,L1,borussia-dortmund,Borussia Dortmund,104600000.0,82000000.0
22/23,L1,bayer-04-leverkusen,Bayer 04 Leverkusen,15100000.0,9500000.0
22/23,L1,rasenballsport-leipzig,RB Leipzig,59500000.0,75970000.0
22/23,L1,1-fc-union-berlin,1.FC Union Berlin,24650000.0,30670000.0
22/23,L1,sc-freiburg,SC Freiburg,15900000.0,21330000.0
22/23,L1,1-fc-koln,1.FC Köln,7250000.0,13320000.0
22/23,L1,1-fsv-mainz-05,1.FSV Mainz 05,23800000.0,24250000.0
22/23,L1,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,19800000.0,67050000.0
22/23,L1,borussia-monchengladbach,Borussia Mönchengladbach,24000000.0,23000000.0
22/23,L1,eintracht-frankfurt,Eintracht Frankfurt,27800000.0,20100000.0
22/23,L1,vfl-wolfsburg,VfL Wolfsburg,36250000.0,22780000.0
22/23,L1,vfl-bochum,VfL Bochum,1790000.0,16050000.0
22/23,L1,fc-augsburg,FC Augsburg,11790000.0,6850000.0
22/23,L1,vfb-stuttgart,VfB Stuttgart,14550000.0,52600000.0
22/23,L1,hertha-bsc,Hertha BSC,8850000.0,24250000.0
22/23,L1,fc-schalke-04,FC Schalke 04,8630000.0,21550000.0
22/23,L1,sv-werder-bremen,SV Werder Bremen,4000000.0,2450000.0
18/19,IT1,atalanta-bergamo,Atalanta BC,60800000.0,25060000.0
18/19,IT1,fc-bologna,Bologna FC 1909,31220000.0,44990000.0
18/19,IT1,cagliari-calcio,Cagliari Calcio,22500000.0,7850000.0
18/19,IT1,chievo-verona,Chievo Verona,9470000.0,17620000.0
18/19,IT1,fc-empoli,FC Empoli,17300000.0,22900000.0
18/19,IT1,ac-florenz,ACF Fiorentina,60770000.0,43390000.0
18/19,IT1,frosinone-calcio,Frosinone Calcio,9560000.0,800000000.0
18/19,IT1,genua-cfc,Genoa CFC,58970000.0,86460000.0
18/19,IT1,inter-mailand,Inter Milan,97600000.0,91170000.0
18/19,IT1,juventus-turin,Juventus FC,261800000.0,112540000.0
18/19,IT1,lazio-rom,SS Lazio,51280000.0,38600000.0
18/19,IT1,ac-mailand,AC Milan,194640000.0,88100000.0
18/19,IT1,ssc-neapel,SSC Napoli,70500000.0,100800000.0
18/19,IT1,parma-calcio-1913,Parma Calcio 1913,23800000.0,596000000.0
18/19,IT1,as-rom,AS Roma,166350000.0,150470000.0
18/19,IT1,sampdoria-genua,UC Sampdoria,56700000.0,90120000.0
18/19,IT1,us-sassuolo,US Sassuolo,53970000.0,50380000.0
18/19,IT1,spal,SPAL,21900000.0,1850000.0
18/19,IT1,fc-turin,Torino FC,53150000.0,17200000.0
18/19,IT1,udinese-calcio,Udinese Calcio,52900000.0,13530000.0
19/20,IT1,atalanta-bergamo,Atalanta BC,59060000.0,109100000.0
19/20,IT1,fc-bologna,Bologna FC 1909,69540000.0,28680000.0
19/20,IT1,brescia-calcio,Brescia Calcio,18650000.0,100000000.0
19/20,IT1,cagliari-calcio,Cagliari Calcio,40100000.0,18860000.0
19/20,IT1,ac-florenz,ACF Fiorentina,56500000.0,15320000.0
19/20,IT1,genua-cfc,Genoa CFC,50370000.0,59350000.0
19/20,IT1,hellas-verona,Hellas Verona,21190000.0,43670000.0
19/20,IT1,inter-mailand,Inter Milan,192020000.0,66739999.99999999
19/20,IT1,juventus-turin,Juventus FC,235300000.0,203140000.0
