Season,League,club_code,club_name,Expenditure,Income
22/23,FR1,losc-lille,LOSC Lille,25500000.0,101900000.0
22/23,FR1,stade-brest-29,Stade Brestois 29,5350000.0,2100000.0
22/23,FR1,stade-reims,Stade Reims,20400000.0,28950000.0
22/23,FR1,montpellier-hsc,Montpellier HSC,9500000.0,10000000.0
22/23,FR1,sco-angers,Angers SCO,6000000.0,39000000.0
22/23,FR1,es-troyes-ac,ESTAC Troyes,24800000.0,10000000.0
22/23,FR1,fc-lorient,FC Lorient,30200000.0,39450000.0
22/23,FR1,clermont-foot-63,Clermont Foot 63,2300000.0,21400000.0
22/23,FR1,fc-toulouse,FC Toulouse,14700000.0,11000000.0
22/23,FR1,ac-ajaccio,AC Ajaccio,300000000.0,600000000.0
22/23,FR1,aj-auxerre,AJ Auxerre,1750000.0,500000000.0
