,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,Country
76,2018,GB1,L1,4.78435069767331,51.5249135122518,6,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,
77,2018,GB1,L1,5.81278178750069,51.4397620569085,7,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,
78,2018,GB1,L1,6.84385085267072,51.3971256907404,8,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,
79,2018,GB1,L1,7.87580108136673,51.3970770607452,9,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,
80,2018,GB1,L1,8.90687416038038,51.4396162497823,10,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,
81,2018,GB1,L1,9.93531327105591,51.5246707764316,11,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,
82,2018,L1,IT1,12.7194664000327,42.6750640283958,0,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
83,2018,L1,IT1,12.5775158771036,43.7003755934881,1,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
84,2018,L1,IT1,12.3932444835764,44.718932322394,2,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
85,2018,L1,IT1,12.1669681089005,45.7289881420077,3,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
86,2018,L1,IT1,11.8990746500689,46.7288115520092,4,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
87,2018,L1,IT1,11.590023346661,47.7166885931099,5,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
88,2018,L1,IT1,11.2403439935853,48.6909257852271,6,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
89,2018,L1,IT1,10.8506360328727,49.6498530305534,7,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
90,2018,L1,IT1,10.4215675260754,50.5918264765415,8,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
91,2018,L1,IT1,9.95387400903436,51.515231333898,9,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,
92,2018,IT1,L1,9.9485571835693,51.5248145907371,0,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy
93,2018,IT1,L1,10.0906043401725,50.499516408854,1,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
94,2018,IT1,L1,10.2749717305513,49.4809770518153,2,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
95,2018,IT1,L1,10.5013433006923,48.4709425629468,3,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
96,2018,IT1,L1,10.7693309904126,47.471144406002,4,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
97,2018,IT1,L1,11.0784753985965,46.4832964969793,5,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
98,2018,IT1,L1,11.4282465707293,45.5090922660211,6,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
99,2018,IT1,L1,11.8180449073784,44.550201754431,7,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
100,2018,IT1,L1,12.2472021920635,43.6082687517851,8,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
101,2018,IT1,L1,12.7149827367549,42.684907978046,9,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,
102,2018,ES1,FR1,2.37400008367352,46.8112151872169,0,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
103,2018,ES1,FR1,1.50131713707591,46.2950131220792,1,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
104,2018,ES1,FR1,0.665500543881693,45.7210351435156,2,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
105,2018,ES1,FR1,-0.129630793812144,45.0919037954237,3,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
106,2018,ES1,FR1,-0.880443867570952,44.4104936211472,4,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
107,2018,ES1,FR1,-1.58350816208172,43.6799180294944,5,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
108,2018,ES1,FR1,-2.23561132940773,42.9035150693647,6,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
