,Unnamed: 0,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,From_Country,new_distinction
44,44,2018,L1,FR1,7.7544263135806,49.4550983017563,6,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,3
45,45,2018,L1,FR1,8.52936248769049,50.0957188330409,7,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,2
46,46,2018,L1,FR1,9.25964129437052,50.7868147768588,8,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,1
47,47,2018,L1,FR1,9.94198160477199,51.5252810522219,9,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,0
48,48,2018,FR1,L1,9.94956172111757,51.520763926178,0,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,9
49,49,2018,FR1,L1,8.98554693765282,51.2351133768894,1,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,8
50,50,2018,FR1,L1,8.04283411925509,50.8855232153057,2,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,7
51,51,2018,FR1,L1,7.12565885676478,50.4735641434025,3,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,6
52,52,2018,FR1,L1,6.23814200126717,50.0010870854885,4,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,5
53,53,2018,FR1,L1,5.38427114918662,49.4702148720371,5,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,4
54,54,2018,FR1,L1,4.56788272609127,48.8833327018501,6,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,3
55,55,2018,FR1,L1,3.7926447497057,48.243077425404,7,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,2
56,56,2018,FR1,L1,3.06204034957667,47.552325697531,8,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,1
57,57,2018,FR1,L1,2.37935211743811,46.8141810526632,9,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,0
58,58,2018,L1,GB1,9.94808959143682,51.524941009034,0,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,0
59,59,2018,L1,GB1,8.97197213328501,51.8597782601902,1,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,1
60,60,2018,L1,GB1,7.98286779465887,52.1540466481995,2,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,2
61,61,2018,L1,GB1,6.98246188476682,52.4072447767938,3,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,3
62,62,2018,L1,GB1,5.97245896927115,52.6189412282541,4,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,4
63,63,2018,L1,GB1,4.95457996592295,52.7887752984918,5,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,5
64,64,2018,L1,GB1,3.93055921233492,52.9164576116429,6,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,6
65,65,2018,L1,GB1,2.90214151088858,53.0017706131284,7,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,7
66,66,2018,L1,GB1,1.8710791558108,53.0445689403394,8,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,8
67,67,2018,L1,GB1,0.839128947485076,53.0447796703172,9,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,9
68,68,2018,L1,GB1,-0.191950800914948,53.0024024440044,10,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,10
69,69,2018,L1,GB1,-1.22040325936971,52.917509466857,11,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,11
70,70,2018,GB1,L1,-1.23339818829052,52.9154848567832,0,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,0
71,71,2018,GB1,L1,-0.257228145543142,52.5808009394623,1,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,1
72,72,2018,GB1,L1,0.731922404912512,52.2866879247828,2,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,2
73,73,2018,GB1,L1,1.73236807512891,52.0336469442759,3,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,3
74,74,2018,GB1,L1,2.74240423169714,51.8221091479002,4,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,4
75,75,2018,GB1,L1,3.76030990022755,51.652434969416,5,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,5
76,76,2018,GB1,L1,4.78435069767331,51.5249135122518,6,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,6
77,77,2018,GB1,L1,5.81278178750069,51.4397620569085,7,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,7
78,78,2018,GB1,L1,6.84385085267072,51.3971256907404,8,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,8
79,79,2018,GB1,L1,7.87580108136673,51.3970770607452,9,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,9
80,80,2018,GB1,L1,8.90687416038038,51.4396162497823,10,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,10
81,81,2018,GB1,L1,9.93531327105591,51.5246707764316,11,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,11
82,82,2018,L1,IT1,12.7194664000327,42.6750640283958,0,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,9
83,83,2018,L1,IT1,12.5775158771036,43.7003755934881,1,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,8
84,84,2018,L1,IT1,12.3932444835764,44.718932322394,2,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,7
85,85,2018,L1,IT1,12.1669681089005,45.7289881420077,3,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,6
86,86,2018,L1,IT1,11.8990746500689,46.7288115520092,4,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,5
87,87,2018,L1,IT1,11.590023346661,47.7166885931099,5,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,4
88,88,2018,L1,IT1,11.2403439935853,48.6909257852271,6,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,3
89,89,2018,L1,IT1,10.8506360328727,49.6498530305534,7,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,2
90,90,2018,L1,IT1,10.4215675260754,50.5918264765415,8,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,1
91,91,2018,L1,IT1,9.95387400903436,51.515231333898,9,18/19,Bundesliga,Serie A,40000000,BundesligaSerie A,Germany,0
