,name,id,logo_link
58,Amiens SC,amiens-sc,https://tmssl.akamaized.net/images/wappen/head/1416.png?lm=1688037499
59,Racing Club de Roubaix,racing-club-de-roubaix,https://tmssl.akamaized.net/images/wappen/head/9523.png?lm=1463780988
60,SC Nîmes,sc-nimes,https://tmssl.akamaized.net/images/wappen/head/default.png?lm=1457423031
61,Chamois Niortais FC,chamois-niortais-fc,https://tmssl.akamaized.net/images/wappen/head/1161.png?lm=1408780943
62,SR Colmar,sr-colmar,https://tmssl.akamaized.net/images/wappen/head/5407.png?lm=1698932969
63,CA Paris-Charenton,ca-paris-charenton,https://tmssl.akamaized.net/images/wappen/head/30633.png?lm=1411995635
64,Lyon OU,lyon-ou,https://tmssl.akamaized.net/images/wappen/head/default.png?lm=1457423031
65,FC Gueugnon,fc-gueugnon,https://tmssl.akamaized.net/images/wappen/head/1397.png?lm=1594561973
66,GFC Ajaccio,gfc-ajaccio,https://tmssl.akamaized.net/images/wappen/head/3558.png?lm=1438295959
67,AS Béziers (-1990),as-beziers,https://tmssl.akamaized.net/images/wappen/head/58556.png?lm=1487626995
68,Istres Football Club,istres-football-club,https://tmssl.akamaized.net/images/wappen/head/2580.png?lm=1683208574
69,LB Châteauroux,lb-chateauroux,https://tmssl.akamaized.net/images/wappen/head/1175.png?lm=1692872371
70,US Boulogne,us-boulogne,https://tmssl.akamaized.net/images/wappen/head/7042.png?lm=1410948014
71,Avenir Club avignonnais,avenir-club-avignonnais,https://tmssl.akamaized.net/images/wappen/head/23341.png?lm=1486068107
72,AS Aix-en-Provence,pays-daix-fc,https://tmssl.akamaized.net/images/wappen/head/3528.png?lm=1713358758
73,Athlétic Club Arlésien,athletic-club-arlesien,https://tmssl.akamaized.net/images/wappen/head/11300.png?lm=1683037879
74,Club français,club-francais,https://tmssl.akamaized.net/images/wappen/head/61109.png?lm=1499790819
75,Hyères 83 FC,hyeres-fc,https://tmssl.akamaized.net/images/wappen/head/25639.png?lm=1628162743
